Measure,DimensionName,ColumnName,LoadTime,isMeasureUsedInVisual,ReportName,PageName,VisualName,VisualTitle,Query,hasDimension
LastTimeRefresh(MAX),Stream Name Dimension,StreamNameOrder,0.004634857178,0,-,-,-,-,"SELECT {[Measures].[LastTimeRefresh(MAX)]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
DateShow Ingestion,Stream Name Dimension,StreamNameOrder,0.000000000000,0,-,-,-,-,"SELECT {[Measures].[DateShow Ingestion]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
Last Refresh Time Ingestion,Stream Name Dimension,StreamNameOrder,0.000000000000,0,-,-,-,-,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
LastTimeRefresh(MAX) Ingestion(PST),Stream Name Dimension,StreamNameOrder,0.000000000000,0,-,-,-,-,"SELECT {[Measures].[LastTimeRefresh(MAX) Ingestion(PST)]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
CombineStatus,Pipeline Execution Logs,StreamOrder,0.011020421982,0,-,-,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
CombineDate,Pipeline Execution Logs,StreamOrder,0.011020421982,0,-,-,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
StartTime(MAX),Pipeline Execution Logs,StreamOrder,0.011020421982,0,-,-,-,-,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
EndTime(MAX),Pipeline Execution Logs,StreamOrder,0.003270387650,0,-,-,-,-,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
CurrentDuration,Pipeline Execution Logs,StreamOrder,0.003270387650,0,-,-,-,-,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
ColorCode_DatasetRefreshHistory,Pipeline Execution Logs,StreamOrder,0.004212379456,0,-,-,-,-,"SELECT {[Measures].[ColorCode_DatasetRefreshHistory]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
